timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
2022-11-30T09:45:56,emissions_app_reboot0,bbd8427a-fba8-4b1e-8f57-5b3f4963e5a7,0.000939130783081,1.5434405538770888e-09,0.0016434777580322,42.5,0.0,3.0,7.047918107774523e-09,0,3.3696492513020827e-10,7.384883032904731e-09,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
2022-11-30T09:45:57,emissions_app_reboot0,dfbd2d82-8454-4e05-adec-f3723a3f7f44,0.0007910728454589,1.626102129618326e-09,0.0020555656017681,42.5,0.0,3.0,7.413824399312338e-09,0,3.6656856536865225e-10,7.780392964680991e-09,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
2022-11-30T09:45:59,emissions_app_reboot0,1f29051e-cf0d-4041-859e-67243eb7888a,0.0007879734039306,1.6894755429691735e-09,0.0021440768616574,42.5,0.0,3.0,7.754398716820611e-09,0,3.2921632130940755e-10,8.083615038130018e-09,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
2022-11-30T09:46:00,emissions_app_reboot0,73613500-315f-47af-9c58-b818408972df,0.0008580684661865,1.559531324439578e-09,0.0018174905452131,42.5,0.0,3.0,7.107026047176785e-09,0,3.5484631856282556e-10,7.46187236573961e-09,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
2022-11-30T09:46:02,emissions_app_reboot0,a0bbb111-8e44-40bf-93f0-ba1603025920,0.0008530616760253,1.771458884080251e-09,0.0020765894587292,42.5,0.0,3.0,8.064011732737224e-09,0,4.118680953979492e-10,8.475879828135173e-09,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
2022-11-30T09:46:03,emissions_app_reboot0,a378f326-d711-42dd-8f0a-8fa296ae82d9,0.000781774520874,1.566258304648929e-09,0.0020034655298024,42.5,0.0,3.0,7.140802012549507e-09,0,3.5325686136881507e-10,7.494058873918322e-09,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
2022-11-30T09:46:04,emissions_app_reboot0,14fba171-93e9-4446-b461-8a798bee3740,0.0008471012115478,1.8002423312928939e-09,0.002125179738562,42.5,0.0,3.0,8.25259420606825e-09,0,3.6100546518961584e-10,8.613599671257866e-09,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
2022-11-30T09:46:06,emissions_app_reboot0,9491ae0d-b0dd-4ee2-8fef-dce7cb4e8cd9,0.0008671283721923,1.7455821567111547e-09,0.0020130608254666,42.5,0.0,3.0,7.993645138210721e-09,0,3.5842259724934885e-10,8.352067735460071e-09,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
2022-11-30T09:46:07,emissions_app_reboot0,ce3aa448-e359-4bc2-b7af-8a80b4c94435,0.0008740425109863,1.8823640876346166e-09,0.0021536299024064,42.5,0.0,3.0,8.652276462978788e-09,0,3.5425027211507157e-10,9.006526735093861e-09,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
2022-11-30T09:46:09,emissions_app_reboot0,19f80c85-ed6b-410a-8197-414fe48a7172,0.0007641315460205,1.6805754436386955e-09,0.0021993273964291,42.5,0.0,3.0,7.664329475826688e-09,0,3.767013549804687e-10,8.041030830807156e-09,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
